API Call,Start Time,End Time,Latency
1,2024-10-25 04:58:45.322512,2024-10-25 04:58:45.444006,0.12149477005004883
2,2024-10-25 04:58:45.444006,2024-10-25 04:58:45.503478,0.05947160720825195
3,2024-10-25 04:58:45.503478,2024-10-25 04:58:45.578576,0.07509803771972656
4,2024-10-25 04:58:45.578576,2024-10-25 04:58:45.640978,0.06240200996398926
5,2024-10-25 04:58:45.640978,2024-10-25 04:58:45.711983,0.07100510597229004
6,2024-10-25 04:58:45.711983,2024-10-25 04:58:45.782829,0.0708456039428711
7,2024-10-25 04:58:45.782829,2024-10-25 04:58:45.843289,0.06045985221862793
8,2024-10-25 04:58:45.843289,2024-10-25 04:58:45.902216,0.058927297592163086
9,2024-10-25 04:58:45.902216,2024-10-25 04:58:45.974583,0.07236695289611816
10,2024-10-25 04:58:45.974583,2024-10-25 04:58:46.046834,0.07225155830383301
11,2024-10-25 04:58:46.046834,2024-10-25 04:58:46.110580,0.06374526023864746
12,2024-10-25 04:58:46.110580,2024-10-25 04:58:46.182153,0.07157325744628906
13,2024-10-25 04:58:46.182153,2024-10-25 04:58:46.258753,0.0765998363494873
14,2024-10-25 04:58:46.258753,2024-10-25 04:58:46.321214,0.062461137771606445
15,2024-10-25 04:58:46.321214,2024-10-25 04:58:46.388859,0.06764507293701172
16,2024-10-25 04:58:46.388859,2024-10-25 04:58:46.456392,0.06753325462341309
17,2024-10-25 04:58:46.456392,2024-10-25 04:58:46.528998,0.07260560989379883
18,2024-10-25 04:58:46.528998,2024-10-25 04:58:46.601863,0.07286477088928223
19,2024-10-25 04:58:46.601863,2024-10-25 04:58:46.659461,0.05759882926940918
20,2024-10-25 04:58:46.659461,2024-10-25 04:58:46.728787,0.06932520866394043
21,2024-10-25 04:58:46.728787,2024-10-25 04:58:46.793666,0.0648794174194336
22,2024-10-25 04:58:46.793666,2024-10-25 04:58:46.865136,0.07147002220153809
23,2024-10-25 04:58:46.865136,2024-10-25 04:58:46.950063,0.08492636680603027
24,2024-10-25 04:58:46.950063,2024-10-25 04:58:47.027740,0.07767748832702637
25,2024-10-25 04:58:47.027740,2024-10-25 04:58:47.098848,0.07110762596130371
26,2024-10-25 04:58:47.098848,2024-10-25 04:58:47.163686,0.06483864784240723
27,2024-10-25 04:58:47.163686,2024-10-25 04:58:47.233825,0.07013845443725586
28,2024-10-25 04:58:47.233825,2024-10-25 04:58:47.311905,0.0780801773071289
29,2024-10-25 04:58:47.311905,2024-10-25 04:58:47.378584,0.06667947769165039
30,2024-10-25 04:58:47.378584,2024-10-25 04:58:47.458944,0.08036017417907715
31,2024-10-25 04:58:47.458944,2024-10-25 04:58:47.539034,0.08008956909179688
32,2024-10-25 04:58:47.539034,2024-10-25 04:58:47.608577,0.06954312324523926
33,2024-10-25 04:58:47.608577,2024-10-25 04:58:47.688457,0.0798797607421875
34,2024-10-25 04:58:47.688457,2024-10-25 04:58:47.756695,0.0682377815246582
35,2024-10-25 04:58:47.756695,2024-10-25 04:58:47.823513,0.0668182373046875
36,2024-10-25 04:58:47.823513,2024-10-25 04:58:47.888460,0.06494688987731934
37,2024-10-25 04:58:47.888460,2024-10-25 04:58:47.968618,0.08015799522399902
38,2024-10-25 04:58:47.968618,2024-10-25 04:58:48.038701,0.0700826644897461
39,2024-10-25 04:58:48.038701,2024-10-25 04:58:48.118629,0.07992815971374512
40,2024-10-25 04:58:48.118629,2024-10-25 04:58:48.198835,0.08020639419555664
41,2024-10-25 04:58:48.198835,2024-10-25 04:58:48.263439,0.06460428237915039
42,2024-10-25 04:58:48.263439,2024-10-25 04:58:48.343444,0.08000493049621582
43,2024-10-25 04:58:48.343444,2024-10-25 04:58:48.418507,0.07506299018859863
44,2024-10-25 04:58:48.418507,2024-10-25 04:58:48.488618,0.07011127471923828
45,2024-10-25 04:58:48.488618,2024-10-25 04:58:48.558655,0.07003593444824219
46,2024-10-25 04:58:48.558655,2024-10-25 04:58:48.628272,0.06961798667907715
47,2024-10-25 04:58:48.628272,2024-10-25 04:58:48.698446,0.07017302513122559
48,2024-10-25 04:58:48.698446,2024-10-25 04:58:48.768862,0.07041621208190918
49,2024-10-25 04:58:48.768862,2024-10-25 04:58:48.838752,0.06989049911499023
50,2024-10-25 04:58:48.838752,2024-10-25 04:58:48.908431,0.06967902183532715
51,2024-10-25 04:58:48.908552,2024-10-25 04:58:48.973583,0.06503081321716309
52,2024-10-25 04:58:48.973583,2024-10-25 04:58:49.043282,0.06969857215881348
53,2024-10-25 04:58:49.043282,2024-10-25 04:58:49.118798,0.0755159854888916
54,2024-10-25 04:58:49.118798,2024-10-25 04:58:49.193392,0.07459425926208496
55,2024-10-25 04:58:49.193392,2024-10-25 04:58:49.263349,0.06995725631713867
56,2024-10-25 04:58:49.263349,2024-10-25 04:58:49.343683,0.08033394813537598
57,2024-10-25 04:58:49.343683,2024-10-25 04:58:49.408460,0.06477665901184082
58,2024-10-25 04:58:49.408460,2024-10-25 04:58:49.478642,0.07018232345581055
59,2024-10-25 04:58:49.478642,2024-10-25 04:58:49.548772,0.0701296329498291
60,2024-10-25 04:58:49.548772,2024-10-25 04:58:49.608784,0.0600128173828125
61,2024-10-25 04:58:49.608784,2024-10-25 04:58:49.678530,0.06974601745605469
62,2024-10-25 04:58:49.678530,2024-10-25 04:58:49.755426,0.07689571380615234
63,2024-10-25 04:58:49.755426,2024-10-25 04:58:49.828586,0.07316017150878906
64,2024-10-25 04:58:49.828586,2024-10-25 04:58:49.888377,0.059790611267089844
65,2024-10-25 04:58:49.888377,2024-10-25 04:58:49.968589,0.08021187782287598
66,2024-10-25 04:58:49.968589,2024-10-25 04:58:50.028729,0.060140371322631836
67,2024-10-25 04:58:50.028729,2024-10-25 04:58:50.103342,0.07461309432983398
68,2024-10-25 04:58:50.103342,2024-10-25 04:58:50.178639,0.07529687881469727
69,2024-10-25 04:58:50.178639,2024-10-25 04:58:50.248236,0.06959724426269531
70,2024-10-25 04:58:50.248236,2024-10-25 04:58:50.318302,0.07006502151489258
71,2024-10-25 04:58:50.318302,2024-10-25 04:58:50.398215,0.07991313934326172
72,2024-10-25 04:58:50.398215,2024-10-25 04:58:50.468770,0.07055521011352539
73,2024-10-25 04:58:50.468770,2024-10-25 04:58:50.548324,0.07955384254455566
74,2024-10-25 04:58:50.548324,2024-10-25 04:58:50.628215,0.07989144325256348
75,2024-10-25 04:58:50.628215,2024-10-25 04:58:50.713215,0.08500051498413086
76,2024-10-25 04:58:50.713215,2024-10-25 04:58:50.798256,0.08504056930541992
