API Call,Start Time,End Time,Latency
1,2024-10-25 04:59:06.127207,2024-10-25 04:59:06.187153,0.05994606018066406
2,2024-10-25 04:59:06.187153,2024-10-25 04:59:06.251133,0.0639798641204834
3,2024-10-25 04:59:06.252121,2024-10-25 04:59:06.315752,0.06363177299499512
4,2024-10-25 04:59:06.315752,2024-10-25 04:59:06.386934,0.0711815357208252
5,2024-10-25 04:59:06.386934,2024-10-25 04:59:06.451234,0.0643000602722168
6,2024-10-25 04:59:06.451234,2024-10-25 04:59:06.521365,0.07013058662414551
7,2024-10-25 04:59:06.521365,2024-10-25 04:59:06.586118,0.06475353240966797
8,2024-10-25 04:59:06.586635,2024-10-25 04:59:06.654105,0.06747031211853027
9,2024-10-25 04:59:06.654105,2024-10-25 04:59:06.730166,0.07606053352355957
10,2024-10-25 04:59:06.730166,2024-10-25 04:59:06.801172,0.07100582122802734
11,2024-10-25 04:59:06.801172,2024-10-25 04:59:06.872813,0.07164120674133301
12,2024-10-25 04:59:06.872813,2024-10-25 04:59:06.946728,0.07391524314880371
13,2024-10-25 04:59:06.946728,2024-10-25 04:59:07.006849,0.06012105941772461
14,2024-10-25 04:59:07.006849,2024-10-25 04:59:07.077332,0.07048320770263672
15,2024-10-25 04:59:07.077332,2024-10-25 04:59:07.148294,0.07096171379089355
16,2024-10-25 04:59:07.148294,2024-10-25 04:59:07.217245,0.06895089149475098
17,2024-10-25 04:59:07.217245,2024-10-25 04:59:07.282322,0.06507682800292969
18,2024-10-25 04:59:07.282322,2024-10-25 04:59:07.350749,0.06842708587646484
19,2024-10-25 04:59:07.350749,2024-10-25 04:59:07.419899,0.06915044784545898
20,2024-10-25 04:59:07.419899,2024-10-25 04:59:07.482517,0.06261801719665527
21,2024-10-25 04:59:07.482517,2024-10-25 04:59:07.549447,0.06692957878112793
22,2024-10-25 04:59:07.549447,2024-10-25 04:59:07.619438,0.06999063491821289
23,2024-10-25 04:59:07.619438,2024-10-25 04:59:07.677818,0.0583798885345459
24,2024-10-25 04:59:07.677818,2024-10-25 04:59:07.751836,0.07401800155639648
25,2024-10-25 04:59:07.751836,2024-10-25 04:59:07.822151,0.07031512260437012
26,2024-10-25 04:59:07.822151,2024-10-25 04:59:07.886733,0.06458187103271484
27,2024-10-25 04:59:07.896812,2024-10-25 04:59:07.960441,0.0636281967163086
28,2024-10-25 04:59:07.960441,2024-10-25 04:59:08.022341,0.06189990043640137
29,2024-10-25 04:59:08.022341,2024-10-25 04:59:08.089173,0.0668327808380127
30,2024-10-25 04:59:08.089173,2024-10-25 04:59:08.154103,0.06492924690246582
31,2024-10-25 04:59:08.155087,2024-10-25 04:59:08.216903,0.06181645393371582
32,2024-10-25 04:59:08.216903,2024-10-25 04:59:08.281739,0.06483626365661621
33,2024-10-25 04:59:08.281739,2024-10-25 04:59:08.347132,0.06539297103881836
34,2024-10-25 04:59:08.347132,2024-10-25 04:59:08.424004,0.07687211036682129
35,2024-10-25 04:59:08.424004,2024-10-25 04:59:08.492147,0.06814241409301758
36,2024-10-25 04:59:08.492147,2024-10-25 04:59:08.557056,0.06490874290466309
37,2024-10-25 04:59:08.557056,2024-10-25 04:59:08.616759,0.05970358848571777
38,2024-10-25 04:59:08.616759,2024-10-25 04:59:08.686679,0.06991982460021973
39,2024-10-25 04:59:08.686679,2024-10-25 04:59:08.756987,0.07030773162841797
40,2024-10-25 04:59:08.756987,2024-10-25 04:59:08.826858,0.06987142562866211
41,2024-10-25 04:59:08.826915,2024-10-25 04:59:08.899006,0.07209157943725586
42,2024-10-25 04:59:08.899006,2024-10-25 04:59:08.965480,0.06647419929504395
43,2024-10-25 04:59:08.965480,2024-10-25 04:59:09.030213,0.06473302841186523
44,2024-10-25 04:59:09.030213,2024-10-25 04:59:09.106741,0.07652711868286133
45,2024-10-25 04:59:09.106741,2024-10-25 04:59:09.176545,0.06980419158935547
46,2024-10-25 04:59:09.176545,2024-10-25 04:59:09.246979,0.0704343318939209
47,2024-10-25 04:59:09.246979,2024-10-25 04:59:09.316999,0.07002043724060059
48,2024-10-25 04:59:09.316999,2024-10-25 04:59:09.386736,0.06973624229431152
49,2024-10-25 04:59:09.386736,2024-10-25 04:59:09.456692,0.06995654106140137
